Date,0,1,2,3,4,5,6,7,8,9,10
2012-01-30,15836.99598545205,570.5392692645844,3295.9805832244165,5733.49745731739,6454.539753731535,1316.1604145351087,12371.701420167972,3986.141502431454,37173.335663125916,8803.793613360653,936.1296669977311
2012-01-31,15938.996571217793,582.3618558648207,3292.0113185838645,5671.097836856387,6489.040785951415,1313.5294107427965,12518.50213853814,3914.6217962856326,37259.04451101454,8781.44278992755,928.2202100976906
2012-02-01,15842.999344495223,570.7972113048016,3320.3185297363484,5681.599078508054,6482.95043651996,1312.4501332110021,12510.705540598276,3941.7812735050484,37425.17929283246,8789.059602237427,936.6999435965314
2012-02-02,16343.997769085692,592.2708220762327,3386.6313355716543,5790.6973284054275,6640.051510195809,1324.240014630323,12515.197690179948,3965.427711483951,37709.44980559563,8865.281747400999,936.180219364651
2012-02-03,16251.995821487542,598.7217703663321,3370.6301702343303,5796.10257016601,6649.56687533382,1326.2092981073065,12580.69782875326,4016.6319216433344,37712.08955947236,8849.170457562956,938.1201195227094
2012-02-04,16251.995821487542,598.7217703663321,3370.6301702343303,5796.10257016601,6649.56687533382,1326.2092981073065,12580.69782875326,4016.6319216433344,37712.08955947236,8849.170457562956,938.1201195227094
2012-02-05,16251.995821487542,598.7217703663321,3370.6301702343303,5796.10257016601,6649.56687533382,1326.2092981073065,12580.69782875326,4016.6319216433344,37712.08955947236,8849.170457562956,938.1201195227094
2012-02-06,16376.99688100282,599.1751743382509,3412.321054921336,5901.099686097636,6752.026763118888,1344.3205538854727,12547.20235764404,4015.768438607931,37712.08955947236,8939.992238585388,938.1201195227094
2012-02-07,16441.994809062824,608.7331534440586,3416.039096656429,5892.201641934108,6772.746699854103,1344.329964162286,12568.902666985588,3975.146970040422,38092.473665006466,8904.161226584958,942.2201950806583
2012-02-08,16603.00529788888,610.4619709717551,3425.4084532184797,5890.298768134427,6800.721578365691,1347.0401729742875,12543.80252650305,3955.633324504601,38062.69699479587,8971.884301063039,936.9500758726447
2012-02-09,16792.99308304855,612.6139708706785,3419.4397471006364,5875.902827665309,6782.14023499621,1349.9704738890487,12521.09373670197,3988.589744847456,38139.81390950477,8996.132124509706,932.190320142657
2012-02-10,16542.99453076904,598.0719114609699,3394.9183852054675,5895.502198923294,6730.5423074896125,1351.210315784439,12403.004244117194,3978.6267458190887,38238.379913916986,9010.528446568911,929.9204082890317
2012-02-11,16542.99453076904,598.0719114609699,3394.9183852054675,5895.502198923294,6730.5423074896125,1351.210315784439,12403.004244117194,3978.6267458190887,38238.379913916986,9010.528446568911,929.9204082890317
2012-02-12,16542.99453076904,598.0719114609699,3394.9183852054675,5895.502198923294,6730.5423074896125,1351.210315784439,12403.004244117194,3978.6267458190887,38238.379913916986,9010.528446568911,929.9204082890317
2012-02-13,16548.00781758647,598.0659307717591,3406.858892951272,5852.399341581585,6748.678588260387,1343.0601724172486,12428.39434032129,3912.481083701329,38150.1130495817,8954.030096227227,930.4599185686964
2012-02-14,16378.994996504858,605.3422496604925,3369.7505505552604,5905.698433732759,6712.682993184379,1351.2994986082808,12380.996057634053,3962.799504258208,38197.333939523116,8978.723482297572,928.4597218075783
2012-02-15,16591.00566344906,602.9890274733397,3399.3686425722385,5899.901884442345,6807.552931595849,1350.5200236977216,12390.09943481769,3952.276417020967,37840.98297617282,9108.843192239236,934.0901930487909
2012-02-16,16355.99866723902,594.0770352934738,3365.9987385892077,5892.201641934108,6665.2383938989615,1342.6103226135383,12333.100199051703,3952.505655701009,37868.91992907688,9232.378623643419,921.5103419512805
